iso3,year,exports_energy_usd,exports_industrial_metals_usd,exports_precious_usd,exports_agriculture_usd,exports_livestock_usd,total_exports_usd,gdp_usd,share_energy,expgdp_energy,share_industrial_metals,expgdp_industrial_metals,share_precious,expgdp_precious,share_agriculture,expgdp_agriculture,share_livestock,expgdp_livestock
PAN,2009,8091900,405829,23574698,13833023,0,10716686967,2.8114e+10,0.000755074774967065,0.000287824571387921,3.78688862751775e-05,1.4435121291883e-05,0.00219981213154717,0.000838539446539091,0.00129079285814694,0.000492033257451803,0,0
PAN,2010,3631869,1378147,81397399,19202909,0,10986602587,3.0523e+10,0.000330572528790424,0.000118987943518003,0.000125438868757363,4.51510991711169e-05,0.00740878705272495,0.00266675618386135,0.00174784778533102,0.000629129148510959,0,0
PAN,2011,2120857,1069774,135920216,37811264,0,15895615039,3.5961e+10,0.000133424028878182,5.89765857456689e-05,6.72999438760502e-05,2.97481716303774e-05,0.00855079942905756,0.00377965618308723,0.00237872293127569,0.00105145196184756,0,0
PAN,2012,1551214,2750944,139231294,34722805,0,16765633311,4.1916e+10,9.25234359612435e-05,3.70076820307281e-05,0.00016408231940723,6.56299265197061e-05,0.00830456514330716,0.00332167415783949,0.0020710702874086,0.000828390232846646,0,0
PAN,2013,4425687,3733229,97210805,24303831,0,15575568825,4.7276e+10,0.000284142881054619,9.36138209662408e-05,0.00023968492206897,7.89666849987309e-05,0.00624123626509031,0.00205624005838057,0.0015603815997391,0.000514083911498435,0,0
PAN,2014,1679645,4471146,44646019,27739630,0,13777171945,5.1757e+10,0.000121915078559325,3.24525184999131e-05,0.000324532931566022,8.63872712869757e-05,0.00324057935679629,0.000862608323511796,0.00201344877676926,0.000535959000714879,0,0
PAN,2015,1254438,3602975,40030048,20141664,0,12043377104,5.608e+10,0.000104159986785049,2.23687232524964e-05,0.000299166501960927,6.42470577746077e-05,0.00332382251708325,0.000713802567760342,0.00167242658152009,0.000359159486447932,0,0
PAN,2016,1643594,3959447,33096919,30955127,0,10843210513,6.0037e+10,0.000151578169401902,2.73763512500625e-05,0.0003651544895539,6.59501140963073e-05,0.00305231729664566,0.000551275363525826,0.00285479350999298,0.000515600829488482,0,0
PAN,2017,1813345,4775508,54857923,27559370,0,11091556992,6.449e+10,0.000163488769097784,2.81182353853311e-05,0.000430553438389617,7.4050364397581e-05,0.00494591724494292,0.000850642316638239,0.00248471607907508,0.000427343309040161,0,0
PAN,2018,2765593,3222005,61495115,31320310,0,11480107616,6.7316e+10,0.000240903055311568,4.10837393784539e-05,0.000280659825480159,4.78638808009983e-05,0.00535666711994,0.000913528952997801,0.00272822442503487,0.000465272892031612,0,0
PAN,2019,2792192,4660388,61609402,24987669,0,10478059526,6.9779e+10,0.000266479875693732,4.00147895498646e-05,0.000444775866030903,6.67878301494719e-05,0.00587984844399137,0.000882921824617722,0.00238476112280105,0.000358097264219894,0,0
PAN,2020,4508669,2438246,30826461,25941952,0,8658798915,5.706e+10,0.000520703742431233,7.9016281107606e-05,0.000281591710806002,4.27312653347354e-05,0.00356013129564633,0.000540246424815983,0.00299602199504364,0.000454643392919734,0,0
PAN,2021,6921918,5402341,12044785,23676274,0,3781922651,6.7396e+10,0.00183026429643391,0.000102705175381328,0.00142846416982419,8.01581844619859e-05,0.00318483113260266,0.00017871661522939,0.00626038028401761,0.000351300878390409,0,0
