iso3,country,year,share_crude_oil,expgdp_crude_oil,share_copper_total,expgdp_copper_total
IRQ,Iraq,2016,0.996547773849333,0.258998747246614,0,0
KAZ,Kazakhstan,2000,0.489554082672112,0.232288279029084,0.000357146058497248,0.000169462059916904
KAZ,Kazakhstan,2001,0.50141279573896,0.192061842639823,0.0735992418327353,0.0281915541913059
KAZ,Kazakhstan,2002,0.521419774973418,0.204078645939035,0.061475141306626,0.0240607744449405
KAZ,Kazakhstan,2003,0.542934480256635,0.227427926963741,0.0484995040820276,0.020315787766751
KAZ,Kazakhstan,2004,0.568609096720802,0.264579307888395,0.0522372803436558,0.0243065113783834
KAZ,Kazakhstan,2005,0.624692786892716,0.304512006021882,0.0528260636045074,0.0257505303982495
KAZ,Kazakhstan,2006,0.617397012082664,0.291495284767231,0.0632808777255013,0.0298771732158068
KAZ,Kazakhstan,2007,0.589049447885504,0.268248693819742,0.0526937805533277,0.0239963518454936
KAZ,Kazakhstan,2008,0.611307111885186,0.326043696647232,0.0351558442814177,0.0187505448659343
KAZ,Kazakhstan,2009,0.606700069847561,0.227275163673261,0.0337213280687977,0.0126323050499094
KAZ,Kazakhstan,2010,0.646045908132149,0.249801031240079,0.0332622556648364,0.0128612311630766
KAZ,Kazakhstan,2011,0.626213194266908,0.286432519935004,0.0332434941773106,0.0152057125206358
KAZ,Kazakhstan,2012,0.611633092570118,0.271359150043991,0.0383785437845141,0.0170271509959182
KAZ,Kazakhstan,2013,0.675921186293864,0.241931815306273,0.0324034689236406,0.011598142235933
KAZ,Kazakhstan,2014,0.674902887398077,0.242199927859775,0.0215406692204102,0.00773022108610037
KAZ,Kazakhstan,2015,0.582599223201862,0.145199323817168,0.0419190947322925,0.0104473606688071
KAZ,Kazakhstan,2016,0.526929807160288,0.141158918901791,0.0503348031971079,0.0134841610891767
KAZ,Kazakhstan,2017,0.548097685830893,0.159372198718272,0.0495549240368849,0.014409251133952
KAZ,Kazakhstan,2018,0.618622358821461,0.21078932386718,0.0402377080478002,0.0137105928235753
KAZ,Kazakhstan,2019,0.578403968268866,0.184872157820573,0.046503708363061,0.0148637308583287
KAZ,Kazakhstan,2020,0.566070370981152,0.138552563212904,0.00102253736792474,0.000250278376275704
KAZ,Kazakhstan,2021,0.585840665985735,0.157726760857431,0.00139584079615809,0.000375804310341329
KAZ,Kazakhstan,2022,0.616243331008063,0.208077513743082,0.000247808927756419,8.36738719533828e-05
KAZ,Kazakhstan,2023,0.537430971265223,0.161606114698862,0.0405065104411372,0.0121803545430034
KAZ,Kazakhstan,2024,0.52539200231199,0.147107044375806,0.0510042106169065,0.0142809152814601
LKA,Sri Lanka,2000,0,0,4.8711780952823e-09,1.29954515919428e-09
LKA,Sri Lanka,2001,0,0,0.000343973992185997,8.44712518195051e-05
LKA,Sri Lanka,2002,0,0,0.00732539208366317,0.00170953789900188
LKA,Sri Lanka,2003,0,0,0.0144963001365834,0.00315701198997853
LKA,Sri Lanka,2004,0,0,0.0199101812760587,0.00445653068828563
LKA,Sri Lanka,2005,8.76481626746107e-07,1.86945983379501e-07,0.0200885562781613,0.00428471606648199
LKA,Sri Lanka,2006,0,0,0.00736827045751318,0.00148920728316441
LKA,Sri Lanka,2007,3.92882956875675e-07,7.86516853932584e-08,0.00492646107593964,0.000986233838515809
LKA,Sri Lanka,2008,4.2803942459028e-09,7.26487743113934e-10,0.00164156360200302,0.000278613550034249
LKA,Sri Lanka,2009,1.68504044622031e-08,2.41206030150754e-09,0.000241590708096317,3.45826331658291e-05
LKA,Sri Lanka,2010,7.94551883504736e-07,1.12511297171018e-07,0.00102876477696616,0.000145676653650052
LKA,Sri Lanka,2011,5.09425290381323e-09,7.53045404208195e-10,0.000813960727844396,0.000120321742340347
LKA,Sri Lanka,2012,3.27328782415493e-07,4.35702920786453e-08,0.000336743940722349,4.48235310830776e-05
LKA,Sri Lanka,2013,5.69722037061949e-09,7.40894792939403e-10,0.000293425539967769,3.81585124912262e-05
LKA,Sri Lanka,2014,2.39918851186363e-07,3.2855255022247e-08,0.000123243215271486,1.68773201750664e-05
LKA,Sri Lanka,2015,2.68780906292399e-07,3.29764604952345e-08,1.00015999820437e-05,1.22708629584797e-06
LKA,Sri Lanka,2016,2.34688511492787e-07,2.8125e-08,0.000221340566842769,2.65253863636364e-05
LKA,Sri Lanka,2017,1.49020911174827e-08,1.85392472662541e-09,0.000270245066496994,3.36203830105111e-05
LKA,Sri Lanka,2019,0,0,0.000452700690999667,6.08965776666854e-05
LKA,Sri Lanka,2020,0,0,0.000569867338554576,7.23748422138926e-05
LKA,Sri Lanka,2021,0,0,0.000741201068995274,0.000111513906047918
LKA,Sri Lanka,2022,0,0,0.00067039674155389,0.000122172529376274
LKA,Sri Lanka,2023,0,0,0.000729942596650684,0.00010508022116981
LKA,Sri Lanka,2024,2.83389419348925e-07,3.4676650094984e-08,0.00101888080168436,0.000124674284345823
