,sigma_lcl,indebtness,OVX,lambda,V,sigma_total,DD,spread_bps,converged
216,0.25,2.0,35,11.63,255.55,0.0993,2.1199,34.3,True
217,0.25,2.0,55,21.23,255.53,0.0997,2.1097,35.2,True
218,0.25,2.0,80,41.17,254.66,0.12,1.6979,91.6,True
219,0.25,2.0,120,52.0,253.95,0.1349,1.4701,146.8,True
220,0.25,3.0,15,6.11,333.28,0.0766,1.9894,47.2,True
221,0.25,3.0,35,11.63,333.25,0.0769,1.9782,48.5,True
222,0.25,3.0,55,21.23,332.56,0.0862,1.7359,84.3,True
223,0.25,3.0,80,41.17,328.27,0.12,1.1331,275.3,True
224,0.25,3.0,120,52.0,325.9,0.1349,0.9528,373.5,True
225,0.25,5.0,15,6.11,488.73,0.0531,1.8529,64.9,True
226,0.25,5.0,35,11.63,487.18,0.0638,1.4993,138.5,True
227,0.25,5.0,55,21.23,481.45,0.0862,1.0049,342.7,True
228,0.25,5.0,80,41.17,467.79,0.12,0.5493,688.9,True
229,0.25,5.0,120,52.0,461.19,0.1349,0.4103,833.5,True
230,0.25,7.0,15,6.11,643.21,0.0462,1.5483,125.4,True
231,0.25,7.0,35,11.63,637.35,0.0638,1.0239,332.0,True
232,0.25,7.0,55,21.23,625.07,0.0862,0.6136,628.8,True
233,0.25,7.0,80,41.17,600.3,0.12,0.2248,1058.8,True
234,0.25,7.0,120,52.0,588.68,0.1349,0.1039,1227.3,True
235,0.25,10.0,15,6.11,870.88,0.0462,1.0293,328.9,True
236,0.25,10.0,35,11.63,857.11,0.0638,0.6004,640.8,True
237,0.25,10.0,55,21.23,833.12,0.0862,0.2536,1021.4,True
238,0.25,10.0,80,41.17,789.72,0.12,-0.0823,1521.9,True
239,0.25,10.0,120,52.0,770.76,0.1349,-0.1852,1704.2,True
240,0.3,0.5,15,6.11,138.89,0.2165,2.3843,17.2,True
241,0.3,0.5,35,11.63,138.89,0.2166,2.3832,17.2,True
242,0.3,0.5,55,21.23,138.9,0.2168,2.3811,17.3,True
243,0.3,0.5,80,41.17,139.24,0.2174,2.3776,17.5,True
244,0.3,0.5,120,52.0,139.82,0.2181,2.3769,17.5,True
245,0.3,0.75,15,6.11,158.28,0.1907,2.1249,33.9,True
246,0.3,0.75,35,11.63,158.28,0.1908,2.1235,34.0,True
247,0.3,0.75,55,21.23,158.28,0.191,2.1209,34.2,True
248,0.3,0.75,80,41.17,158.59,0.1917,2.1161,34.6,True
249,0.3,0.75,120,52.0,159.12,0.1924,2.1145,34.8,True
250,0.3,1.0,15,6.11,177.64,0.1706,1.9708,49.4,True
251,0.3,1.0,35,11.63,177.63,0.1707,1.969,49.6,True
252,0.3,1.0,55,21.23,177.63,0.171,1.9659,49.9,True
253,0.3,1.0,80,41.17,177.92,0.1717,1.9602,50.6,True
254,0.3,1.0,120,52.0,178.41,0.1723,1.9588,50.8,True
255,0.3,2.0,15,6.11,255.03,0.1209,1.6892,93.3,True
256,0.3,2.0,35,11.63,255.02,0.1211,1.6853,94.1,True
257,0.3,2.0,55,21.23,254.99,0.1215,1.6784,95.5,True
258,0.3,2.0,80,41.17,255.24,0.1223,1.6687,97.5,True
259,0.3,2.0,120,52.0,254.83,0.1349,1.4816,143.5,True
260,0.3,3.0,15,6.11,332.48,0.0941,1.5723,119.4,True
261,0.3,3.0,35,11.63,332.44,0.0944,1.5648,121.2,True
262,0.3,3.0,55,21.23,332.35,0.095,1.5519,124.5,True
263,0.3,3.0,80,41.17,329.26,0.12,1.1443,269.9,True
264,0.3,3.0,120,52.0,327.1,0.1349,0.9649,366.1,True
265,0.3,5.0,15,6.11,487.54,0.0657,1.4567,150.7,True
266,0.3,5.0,35,11.63,487.35,0.0664,1.4368,156.7,True
267,0.3,5.0,55,21.23,482.45,0.0862,1.0157,336.6,True
268,0.3,5.0,80,41.17,469.51,0.12,0.5629,675.8,True
269,0.3,5.0,120,52.0,463.08,0.1349,0.4239,818.4,True
270,0.3,7.0,15,6.11,642.64,0.051,1.3848,173.4,True
271,0.3,7.0,35,11.63,638.35,0.0638,1.035,325.9,True
272,0.3,7.0,55,21.23,626.53,0.0862,0.6257,617.8,True
273,0.3,7.0,80,41.17,602.61,0.12,0.2392,1039.9,True
274,0.3,7.0,120,52.0,591.39,0.1349,0.1191,1205.2,True
275,0.3,10.0,15,6.11,871.71,0.0462,1.0386,323.9,True
276,0.3,10.0,35,11.63,858.61,0.0638,0.6126,629.6,True
277,0.3,10.0,55,21.23,835.33,0.0862,0.2673,1003.8,True
278,0.3,10.0,80,41.17,792.86,0.12,-0.0675,1496.9,True
279,0.3,10.0,120,52.0,774.49,0.1349,-0.1692,1674.9,True
