date,fx_ticker,fx_level,r_fx
2020-01-24,USDMXN_Curncy,18.7857,0.00667623399271289
2020-01-31,USDMXN_Curncy,18.8447,0.00313576514444147
2020-02-07,USDMXN_Curncy,18.7656,-0.00420630075410733
2020-02-14,USDMXN_Curncy,18.5415,-0.0120139434824265
2020-02-21,USDMXN_Curncy,18.8954,0.0189070431851213
2020-02-28,USDMXN_Curncy,19.6437,0.0388381700226814
2020-03-06,USDMXN_Curncy,20.1104,0.0234804179667827
2020-03-13,USDMXN_Curncy,21.9229,0.0862946584106754
2020-03-20,USDMXN_Curncy,24.4189,0.107825670023844
2020-03-27,USDMXN_Curncy,23.3426,-0.0450774052249146
2020-04-03,USDMXN_Curncy,25.0146,0.0691796370085234
2020-04-10,USDMXN_Curncy,23.3105,-0.0705557515674968
2020-04-17,USDMXN_Curncy,23.6963,0.0164150149708524
2020-04-24,USDMXN_Curncy,24.9772,0.052644490933258
2020-05-01,USDMXN_Curncy,24.5777,-0.0161238809931867
2020-05-08,USDMXN_Curncy,23.6489,-0.0385229255216553
2020-05-15,USDMXN_Curncy,23.9586,0.0130107385939091
2020-05-22,USDMXN_Curncy,22.7324,-0.0525361212022224
2020-05-29,USDMXN_Curncy,22.1761,-0.0247760872431875
2020-06-05,USDMXN_Curncy,21.5797,-0.0272620744043666
2020-06-12,USDMXN_Curncy,22.263,0.031173049683638
2020-06-19,USDMXN_Curncy,22.633,0.0164829105914825
2020-06-26,USDMXN_Curncy,23.052,0.0183435153268312
2020-07-03,USDMXN_Curncy,22.3871,-0.0292676334605533
2020-07-10,USDMXN_Curncy,22.4445,0.00256069519558011
2020-07-17,USDMXN_Curncy,22.5485,0.0046229495797574
2020-07-24,USDMXN_Curncy,22.2828,-0.0118534644767911
2020-07-31,USDMXN_Curncy,22.2765,-0.000282769255440574
2020-08-07,USDMXN_Curncy,22.3747,0.00439854509283189
2020-08-14,USDMXN_Curncy,21.9801,-0.0177933576941416
2020-08-21,USDMXN_Curncy,21.9749,-0.000236605620487218
2020-08-28,USDMXN_Curncy,21.7618,-0.00974475378035766
2020-09-04,USDMXN_Curncy,21.5544,-0.00957616711210552
2020-09-11,USDMXN_Curncy,21.276,-0.0130002951626413
2020-09-18,USDMXN_Curncy,21.1323,-0.00677700119949742
2020-09-25,USDMXN_Curncy,22.3363,0.0554104820412817
2020-10-02,USDMXN_Curncy,21.6163,-0.0327654979918814
2020-10-09,USDMXN_Curncy,21.1387,-0.0223421759753593
2020-10-16,USDMXN_Curncy,21.1383,-1.89228185543122e-05
2020-10-23,USDMXN_Curncy,20.8689,-0.0128265484712919
2020-10-30,USDMXN_Curncy,21.1774,0.0146745628549709
2020-11-06,USDMXN_Curncy,20.6008,-0.0276046653268049
2020-11-13,USDMXN_Curncy,20.4075,-0.00942742964956045
2020-11-20,USDMXN_Curncy,20.105,-0.0149339399941368
2020-11-27,USDMXN_Curncy,20.0437,-0.00305365043620753
2020-12-04,USDMXN_Curncy,19.7674,-0.0138807737715312
2020-12-11,USDMXN_Curncy,20.1317,0.0182615710124683
2020-12-18,USDMXN_Curncy,19.9476,-0.00918685180668977
2020-12-25,USDMXN_Curncy,19.8646,-0.00416958220088803
2021-01-01,USDMXN_Curncy,19.9035,0.0019563425160749
2021-01-08,USDMXN_Curncy,20.0151,0.00559139302240208
2021-01-15,USDMXN_Curncy,19.7986,-0.0108757605549461
2021-01-22,USDMXN_Curncy,19.9745,0.00884523192001918
2021-01-29,USDMXN_Curncy,20.574,0.0295716826588994
2021-02-05,USDMXN_Curncy,20.0872,-0.0239453464175896
2021-02-12,USDMXN_Curncy,19.9526,-0.00672333563251115
2021-02-19,USDMXN_Curncy,20.4288,0.0235862092944505
2021-02-26,USDMXN_Curncy,20.8554,0.0206672375645307
2021-03-05,USDMXN_Curncy,21.3127,0.0216902316462084
2021-03-12,USDMXN_Curncy,20.6931,-0.0295028277938414
2021-03-19,USDMXN_Curncy,20.5061,-0.00907790851260071
2021-03-26,USDMXN_Curncy,20.5834,0.00376252284364309
2021-04-02,USDMXN_Curncy,20.3109,-0.0133272379444001
2021-04-09,USDMXN_Curncy,20.1612,-0.00739772251550841
2021-04-16,USDMXN_Curncy,19.9192,-0.0120758745337981
2021-04-23,USDMXN_Curncy,19.8257,-0.00470501485651464
2021-04-30,USDMXN_Curncy,20.2462,0.0209880457713783
2021-05-07,USDMXN_Curncy,19.9173,-0.0163784208211779
2021-05-14,USDMXN_Curncy,19.8654,-0.00260917581982723
2021-05-21,USDMXN_Curncy,19.9543,0.00446513397655002
2021-05-28,USDMXN_Curncy,19.9379,-0.000822215918095282
2021-06-04,USDMXN_Curncy,19.9589,0.00105271610451796
2021-06-11,USDMXN_Curncy,19.8764,-0.00414206083308288
2021-06-18,USDMXN_Curncy,20.6593,0.0386324829089317
2021-06-25,USDMXN_Curncy,19.8239,-0.041277300736676
2021-07-02,USDMXN_Curncy,19.7718,-0.00263160040445953
2021-07-09,USDMXN_Curncy,19.8685,0.00487888294571226
2021-07-16,USDMXN_Curncy,19.8922,0.00119213207045243
2021-07-23,USDMXN_Curncy,20.0665,0.00872406286920224
2021-07-30,USDMXN_Curncy,19.8675,-0.00996652713213564
2021-08-06,USDMXN_Curncy,20.0432,0.00880471327559285
2021-08-13,USDMXN_Curncy,19.8794,-0.00820592442133972
2021-08-20,USDMXN_Curncy,20.3651,0.0241386317873347
