date,country,cds_spread,risk_free_rate,implied_V,implied_sigma_V,cca_converged,B_f,LCL_usd,sigma_lcl
2024-04-21,Colombia,194.96,0.0446,455.16023068586463,0.11641796012784,True,269.02331,239.9581566457694,0.22053380165432193
2024-04-28,Colombia,187.16,0.0446,455.82511592082705,0.11454447841182404,True,269.02331,240.61454862579228,0.21675323283884557
2024-05-05,Colombia,180.17,0.0476999999999999,451.87342193438667,0.11315647623309938,True,272.4328449999999,237.2850561424533,0.2152579019010185
2024-05-12,Colombia,174.58,0.0476999999999999,452.7082630084768,0.11318093857233363,True,272.4328449999999,238.11909852923202,0.2149518082918591
2024-05-19,Colombia,173.6,0.0476999999999999,456.50823444347725,0.11416846248385526,True,272.4328449999999,241.9186249339117,0.2152195346693661
2024-05-26,Colombia,192.2,0.0476999999999999,453.68138414259994,0.11344708395820816,True,272.4328449999999,239.0921480025306,0.21504305341058383
2024-06-02,Colombia,191.15,0.0471,457.3576074702931,0.1143221152356611,True,271.772935,242.64456133249547,0.21526510836913829
2024-06-09,Colombia,184.68,0.0471,452.3519677582677,0.11237164743170726,True,271.772935,237.6372386242198,0.21369023360903464
2024-06-16,Colombia,198.07,0.0471,441.2449260186325,0.11300775024234189,True,271.772935,226.54625288689616,0.21978438567159797
2024-06-23,Colombia,202.97,0.0471,440.1682524648309,0.11274324458415307,True,271.772935,225.46991249995568,0.21977563740127315
2024-06-30,Colombia,195.18,0.0454,443.08915405809626,0.1130919883619574,True,269.90319,228.04620938138743,0.21942319553725753
2024-07-07,Colombia,183.19,0.0454,446.87675563635594,0.11420193078726219,True,269.90319,231.83356597109218,0.21982694357977212
2024-07-14,Colombia,174.51,0.0454,456.0119406587632,0.11736069350976248,True,269.90319,240.97056381699292,0.2217879511009529
2024-07-21,Colombia,188.39,0.0454,449.5212513537312,0.1164070352670773,True,269.90319,234.48471559906804,0.22281824432681455
2024-07-28,Colombia,184.3,0.0454,450.46899751837435,0.11651367768555715,True,269.90319,235.43155477364522,0.22259991324808873
2024-08-04,Colombia,200.42,0.0455999999999999,444.4307280219837,0.11383814376980046,True,270.12315999999987,229.42906000989447,0.22019888484133524
2024-08-11,Colombia,201.98,0.0455999999999999,447.9404016615896,0.1146662049734227,True,270.12315999999987,232.93758459144937,0.22019628653074338
2024-08-18,Colombia,181.34,0.0455999999999999,450.0822263959959,0.11337249873133419,True,270.12315999999987,235.07114681592574,0.21681351953142947
2024-08-25,Colombia,171.58,0.0455999999999999,450.69886049660767,0.11348786879822453,True,270.12315999999987,235.68750924795395,0.21676531712044647
2024-09-01,Colombia,177.63,0.0425,443.5316237160849,0.11317514899375578,True,266.713625,227.9276346300477,0.2199094864335015
2024-09-08,Colombia,192.07,0.0425,443.9140532347712,0.11317390277862555,True,266.713625,228.30950289973455,0.21973212732955177
2024-09-15,Colombia,188.21,0.0425,443.58171984351253,0.11268111597113818,True,266.713625,227.9753681511065,0.21894111591657203
2024-09-22,Colombia,195.88,0.0425,445.398013169317,0.112695316540968,True,266.713625,229.78924253697215,0.2181452987450127
2024-09-29,Colombia,198.68,0.0425,443.9675970906847,0.11188885252726159,True,266.713625,228.357236416083,0.21724904779511411
2024-10-06,Colombia,186.54,0.0409999999999999,446.39325704968905,0.10732864989922063,True,265.0638499999999,230.48550685885766,0.2076969566770191
2024-10-13,Colombia,188.96,0.0409999999999999,443.7530158774909,0.10667888361952434,True,265.0638499999999,227.84562707215045,0.20759201019942686
2024-10-20,Colombia,187.05,0.0409999999999999,440.8716149372961,0.1063431678355943,True,265.0638499999999,224.96575818939965,0.20821559498150957
2024-10-27,Colombia,197.84,0.0409999999999999,437.65730936968833,0.10485850131056139,True,265.0638499999999,221.7499045777982,0.20677354345408339
2024-11-03,Colombia,217.58,0.0444,431.422620509304,0.10463109010514532,True,268.80334,216.16389166843183,0.20861365564577491
2024-11-10,Colombia,193.06,0.0444,435.3577653107403,0.1056721578196019,True,268.80334,220.09850636076172,0.2088175368536106
2024-11-17,Colombia,205.56,0.0444,432.0936236546645,0.10506820315975157,True,268.80334,216.83565516559423,0.20915722769888342
2024-11-24,Colombia,197.97,0.0444,432.38170871646224,0.10510073509232683,True,268.80334,217.12355378672382,0.20908527965110063
2024-12-01,Colombia,193.01,0.0463,430.02722310638626,0.10368478495459149,True,270.893055,215.1437671746291,0.20704871653619186
2024-12-08,Colombia,190.55,0.0463,431.36328846883384,0.10397595080566044,True,270.893055,216.47947123502294,0.20699362486874973
2024-12-15,Colombia,189.76,0.0463,435.89503360324045,0.10539008737287564,True,270.893055,221.01132443221317,0.2076693939936535
2024-12-22,Colombia,202.75,0.0463,432.22002795238257,0.10485905827486688,True,270.893055,217.33813815794835,0.2083293365253632
2024-12-29,Colombia,202.88,0.0463,431.3662463147208,0.10295549933229471,True,270.893055,216.47947123502294,0.20498114023375566
2015-01-04,Egypt,288.7598,0.0255,302.00185789035567,0.07603274974232109,True,46.59292275,260.9864147690582,0.08798171239300745
2015-01-11,Egypt,296.2698,0.0255,302.00185789035567,0.07600719941071134,True,46.59292275,260.9864147690582,0.0879521466869814
2015-01-18,Egypt,291.3098,0.0255,302.00185789035567,0.07600719941071134,True,46.59292275,260.9864147690582,0.0879521466869814
2015-01-25,Egypt,291.2798,0.0255,,,False,46.59292275,252.1786364214308,0.09564114436059404
2015-02-01,Egypt,288.7898,0.022,290.7358637385013,0.08225492771922999,True,45.869751,249.64417501514922,0.0957941736703735
2015-02-08,Egypt,306.1899,0.022,,,False,45.869751,248.3367406198746,0.09606085490569491
2015-02-15,Egypt,311.1899,0.022,289.5231709681823,0.08242039531950061,True,45.869751,248.43148224483022,0.0960531007975722
2015-02-22,Egypt,311.23,0.022,,,False,45.869751,248.3367406198746,0.09606392617519553
2015-03-01,Egypt,311.22,0.0233999999999999,,,False,46.15901969999998,242.40504716000868,0.09951896804584191
2015-03-08,Egypt,311.2598,0.0233999999999999,,,False,46.15901969999998,242.40504716000868,0.09951896804584191
