treatment_group,treatment_size,beta,pval,n_obs,is_true
"Abu Dhabi,Saudi Arabia,Thailand",3,-0.04051347719997445,0.010971998871388555,9129,False
"Abu Dhabi,Saudi Arabia,Turkey",3,-0.062361943770871786,0.003005875882641451,9129,False
"Abu Dhabi,South Africa,South Korea",3,-0.044081402857232894,0.005785687546927321,9129,False
"Abu Dhabi,South Africa,Thailand",3,-0.04105648142582165,0.009951504204913642,9129,False
"Abu Dhabi,South Africa,Turkey",3,-0.062904947996719,0.0026006000682712305,9129,False
"Abu Dhabi,South Korea,Thailand",3,-0.043241961973696105,0.006918805708187037,9129,False
"Abu Dhabi,South Korea,Turkey",3,-0.06509042854459343,0.0014384978709673923,9129,False
"Abu Dhabi,Thailand,Turkey",3,-0.06206550711318223,0.0032514342322718104,9129,False
"Brazil,Chile,China",3,0.016717854664515662,0.49442204733773565,9129,False
"Brazil,Chile,Colombia",3,0.07146237138243286,0.0020221341350608046,9129,False
"Brazil,Chile,Dubai",3,0.002388972772776911,0.9406565477998607,9129,False
"Brazil,Chile,Egypt",3,0.0033850236036888606,0.9145096773461083,9129,False
"Brazil,Chile,Indonesia",3,0.04432075258894042,0.005332346596593096,9129,False
"Brazil,Chile,Malaysia",3,0.062186281535466924,0.0012212870840764278,9129,False
"Brazil,Chile,Mexico",3,0.06096881013298698,0.0011806441394457412,9129,False
"Brazil,Chile,Philippines",3,0.04840678494079475,0.002489623430258492,9129,False
"Brazil,Chile,Qatar",3,0.033370131189026875,0.05955866948135524,9129,False
"Brazil,Chile,Saudi Arabia",3,0.015260282810463311,0.5446677619437112,9129,False
"Brazil,Chile,South Africa",3,0.014717278584616088,0.563308215379813,9129,False
"Brazil,Chile,South Korea",3,0.012531798036741683,0.6373717517217998,9129,False
"Brazil,Chile,Thailand",3,0.015556719468152928,0.5344669402298672,9129,False
"Brazil,Chile,Turkey",3,-0.006291747102744348,0.8652521924078402,9129,False
"Brazil,China,Colombia",3,0.04219823020576752,0.2274717206035617,9129,False
"Brazil,China,Dubai",3,-0.02687516840388846,0.33993926524911355,9129,False
"Brazil,China,Egypt",3,-0.025879117572976514,0.3513005899828272,9129,False
"Brazil,China,Indonesia",3,0.01505661141227502,0.5307220319451047,9129,False
"Brazil,China,Malaysia",3,0.03292214035880154,0.2809535650101953,9129,False
"Brazil,China,Mexico",3,0.031704668956321555,0.29050119159112153,9129,False
"Brazil,China,Philippines",3,0.019142643764129393,0.4473038937268361,9129,False
"Brazil,China,Qatar",3,0.004105990012361482,0.8530147379072661,9129,False
"Brazil,China,Saudi Arabia",3,-0.014003858366202087,0.5574961079829981,9129,False
"Brazil,China,South Africa",3,-0.014546862592049311,0.5446428508910355,9129,False
"Brazil,China,South Korea",3,-0.016732343139923705,0.496581423435148,9129,False
"Brazil,China,Thailand",3,-0.01370742170851249,0.5646686800653304,9129,False
"Brazil,China,Turkey",3,-0.03555588827940974,0.26605625903769115,9129,False
"Brazil,Colombia,Dubai",3,0.027869348314028767,0.5136355813559916,9129,False
"Brazil,Colombia,Egypt",3,0.028865399144940716,0.49305142507779487,9129,False
"Brazil,Colombia,Indonesia",3,0.06980112813019226,0.0030653467941033075,9129,False
"Brazil,Colombia,Malaysia",3,0.08766665707671878,4.749134281945011e-05,9129,False
"Brazil,Colombia,Mexico",3,0.0864491856742388,5.794239464940176e-05,9129,False
"Brazil,Colombia,Philippines",3,0.07388716048204662,0.0010836185181537505,9129,False
"Brazil,Colombia,Qatar",3,0.058850506730278744,0.030938467612495524,9129,False
"Brazil,Colombia,Saudi Arabia",3,0.04074065835171518,0.25396947162203043,9129,False
"Brazil,Colombia,South Africa",3,0.040197654125867954,0.2640995498459797,9129,False
"Brazil,Colombia,South Korea",3,0.03801217357799356,0.3060811647598074,9129,False
"Brazil,Colombia,Thailand",3,0.04103709500940479,0.2484960859205001,9129,False
"Brazil,Colombia,Turkey",3,0.019188628438507525,0.6869002979895857,9129,False
"Brazil,Dubai,Egypt",3,-0.04020799946471528,0.1857562378541624,9129,False
"Brazil,Dubai,Indonesia",3,0.0007277295205362738,0.981613852510812,9129,False
"Brazil,Dubai,Malaysia",3,0.018593258467062786,0.6276678379579235,9129,False
"Brazil,Dubai,Mexico",3,0.017375787064582815,0.6457587943043419,9129,False
"Brazil,Dubai,Philippines",3,0.0048137618723906,0.8836304016178407,9129,False
"Brazil,Dubai,Qatar",3,-0.010222891879377298,0.7242635647755646,9129,False
"Brazil,Dubai,Saudi Arabia",3,-0.02833274025794085,0.31651538458908757,9129,False
"Brazil,Dubai,South Africa",3,-0.028875744483788084,0.30825141253733346,9129,False
"Brazil,Dubai,South Korea",3,-0.03106122503166249,0.2774535980304875,9129,False
"Brazil,Dubai,Thailand",3,-0.028036303600251267,0.321132049758178,9129,False
"Brazil,Dubai,Turkey",3,-0.04988477017114855,0.13451139305354376,9129,False
