treatment_group,treatment_size,beta,pval,n_obs,is_true
"Abu Dhabi,South Korea,Turkey",3,-0.1903134896097873,0.0002340846978008404,442,False
"Abu Dhabi,Thailand,Turkey",3,-0.15372304626892694,0.005017530299171291,442,False
"Brazil,Chile,China",3,-0.025178265477772542,0.7838217647559245,442,False
"Brazil,Chile,Colombia",3,0.1306423802441258,0.13428059400425263,442,False
"Brazil,Chile,Dubai",3,0.058749137851064365,0.42487336933482434,442,False
"Brazil,Chile,Egypt",3,0.027967834609819754,0.7140489406392692,442,False
"Brazil,Chile,Indonesia",3,0.0805621058541395,0.2825542001688688,442,False
"Brazil,Chile,Malaysia",3,0.16400504920469366,0.10307035291234579,442,False
"Brazil,Chile,Mexico",3,0.12181243914400895,0.1484357623240209,442,False
"Brazil,Chile,Philippines",3,0.08246787730797132,0.27288490898860385,442,False
"Brazil,Chile,Qatar",3,-0.010410118661630344,0.9040668957815137,442,False
"Brazil,Chile,Saudi Arabia",3,-0.009323746778724273,0.9136703806742394,442,False
"Brazil,Chile,South Africa",3,-0.013715556362278112,0.8754697211048104,442,False
"Brazil,Chile,South Korea",3,-0.033688563059297516,0.7234205673710192,442,False
"Brazil,Chile,Thailand",3,0.0029018802815629044,0.971827040166253,442,False
"Brazil,Chile,Turkey",3,-0.047135448714027056,0.6406632225474915,442,False
"Brazil,China,Colombia",3,0.09856177030587088,0.35367132137706214,442,False
"Brazil,China,Dubai",3,0.026668527912809326,0.7661493910590544,442,False
"Brazil,China,Egypt",3,-0.004112775328435124,0.9633055159074746,442,False
"Brazil,China,Indonesia",3,0.04848149591588449,0.6003259308347653,442,False
"Brazil,China,Malaysia",3,0.13192443926643865,0.2698584852117889,442,False
"Brazil,China,Mexico",3,0.0897318292057541,0.38471456076961785,442,False
"Brazil,China,Philippines",3,0.050387267369716424,0.5874900909464347,442,False
"Brazil,China,Qatar",3,-0.04249072859988534,0.6553032783979311,442,False
"Brazil,China,Saudi Arabia",3,-0.041404356716979215,0.6627369157470302,442,False
"Brazil,China,South Africa",3,-0.045796166300533035,0.6332308720307032,442,False
"Brazil,China,South Korea",3,-0.06576917299755242,0.5173279662872772,442,False
"Brazil,China,Thailand",3,-0.029178729656692028,0.7523012644621507,442,False
"Brazil,China,Turkey",3,-0.07921605865228189,0.4552526374856041,442,False
"Brazil,Colombia,Dubai",3,0.18248917363470785,0.002076528197220595,442,False
"Brazil,Colombia,Egypt",3,0.15170787039346328,0.04394140896067489,442,False
"Brazil,Colombia,Indonesia",3,0.20430214163778285,3.9621573361348084e-05,442,False
"Brazil,Colombia,Malaysia",3,0.28774508498833734,1.0356495661056897e-09,442,False
"Brazil,Colombia,Mexico",3,0.24555247492765245,9.145044721492468e-10,442,False
"Brazil,Colombia,Philippines",3,0.20620791309161474,2.5584326950101044e-05,442,False
"Brazil,Colombia,Qatar",3,0.11332991712201301,0.2446706322618395,442,False
"Brazil,Colombia,Saudi Arabia",3,0.114416289004919,0.23705578812454253,442,False
"Brazil,Colombia,South Africa",3,0.11002447942136533,0.26825876680001914,442,False
"Brazil,Colombia,South Korea",3,0.090051472724346,0.41899755620571777,442,False
"Brazil,Colombia,Thailand",3,0.12664191606520647,0.15739584965493236,442,False
"Brazil,Colombia,Turkey",3,0.07660458706961645,0.5220263412448123,442,False
"Brazil,Dubai,Egypt",3,0.07981462800040189,0.216769618300944,442,False
"Brazil,Dubai,Indonesia",3,0.1324088992447215,0.011062323187309042,442,False
"Brazil,Dubai,Malaysia",3,0.2158518425952759,0.002831189692007463,442,False
"Brazil,Dubai,Mexico",3,0.1736592325345911,0.0022013711174388995,442,False
"Brazil,Dubai,Philippines",3,0.13431467069855335,0.009838862735438436,442,False
"Brazil,Dubai,Qatar",3,0.041436674728951614,0.6133657481542005,442,False
"Brazil,Dubai,Saudi Arabia",3,0.04252304661185772,0.6016680047788094,442,False
"Brazil,Dubai,South Africa",3,0.03813123702830393,0.6486487058715,442,False
"Brazil,Dubai,South Korea",3,0.01815823033128459,0.8472183416813737,442,False
"Brazil,Dubai,Thailand",3,0.054748673672145025,0.4683130894488712,442,False
"Brazil,Dubai,Turkey",3,0.004711344676555071,0.9630421938617444,442,False
"Brazil,Egypt,Indonesia",3,0.10162759600347673,0.11530229965370165,442,False
"Brazil,Egypt,Malaysia",3,0.18507053935403117,0.036812973417729156,442,False
"Brazil,Egypt,Mexico",3,0.14287792929334645,0.04862171406722826,442,False
"Brazil,Egypt,Philippines",3,0.10353336745730882,0.10941530323667314,442,False
"Brazil,Egypt,Qatar",3,0.010655371487707012,0.8978270846392091,442,False
"Brazil,Egypt,Saudi Arabia",3,0.011741743370613124,0.8868704948565433,442,False
"Brazil,Egypt,South Africa",3,0.007349933787059314,0.9305749189657402,442,False
"Brazil,Egypt,South Korea",3,-0.0126230729099601,0.8924295752758948,442,False
"Brazil,Egypt,Thailand",3,0.0239673704309004,0.7579412334796123,442,False
"Brazil,Egypt,Turkey",3,-0.02606995856468951,0.7941110856032028,442,False
"Brazil,Indonesia,Malaysia",3,0.23766481059835104,0.00012829630088484478,442,False
