model,country,horizon,group,alpha,beta,se_beta,t_stat,p_value,r2,n_obs,ci_lower,ci_upper
M1,Brazil,4,Exporter,0.21286391544283353,-14.9425492994286,3.8166900040822753,-3.9150544800458698,9.038379675602118e-05,0.18603884385828007,518,-22.423124247583893,-7.461974351273309
M1,Chile,4,Control,-0.3999796065784922,-8.926516749781653,3.8110319639398194,-2.342283359007433,0.019166157377685785,0.11789017321602213,518,-16.39600214303465,-1.457031356528657
M1,China,4,Control,-0.23137708161125342,-0.37493112653030664,0.37334302372055994,-1.004253736400162,0.31525632677683546,0.0036789646262791464,518,-1.106670006901887,0.3568077538412739
M1,Colombia,4,Exporter,0.38558127208036846,-12.044930853948005,6.367878402559278,-1.8915139537066372,0.05855577009541627,0.09491095397499671,518,-24.52574318089464,0.43588147299863067
M1,Dubai,4,Control,-1.3989804344896744,-3.9299995706344157,2.6436622664325946,-1.4865739926521053,0.13712736093541514,0.11655610648344394,518,-9.111482400129834,1.2514832588610023
M1,Egypt,4,Exporter,2.309247170028058,4.099641633887159,7.9434057298006495,0.5161062865650757,0.6057801774572269,0.002133868324607713,518,-11.469147511111217,19.668430778885536
M1,Indonesia,4,Control,-0.5051563950377762,-4.254235356359231,3.8251680670051185,-1.1121695261066127,0.26606526778272543,0.03091683523076938,518,-11.75142700250196,3.242956289783498
M1,Malaysia,4,Exporter,-0.5200469256398885,-3.4157044253689697,2.126900899424745,-1.6059537265195585,0.10828407746080368,0.061045983229444434,518,-7.5843535869273175,0.7529447361893777
M1,Mexico,4,Exporter,-0.11454456976652305,-10.533246321479156,3.739943322633511,-2.8164187028540546,0.004856233170237447,0.2317030023973956,518,-17.863400538061903,-3.2030921048964114
M1,Philippines,4,Control,-0.26653950754525474,-0.8352563554307231,1.2831586418963807,-0.6509377158511728,0.515086693656206,0.0053128947983368535,518,-3.350201079998958,1.6796883691375115
M1,Qatar,4,Exporter,-0.15121319346271148,-3.715556968806981,2.0901399185144984,-1.7776594456162997,0.0754598040929954,0.10325984526221699,518,-7.812155931744881,0.3810419941309191
M1,Saudi Arabia,4,Exporter,0.09978828326538056,-2.8503674629993676,1.7347051599134438,-1.6431423211663196,0.10035349034094782,0.04162895964705726,518,-6.250327100225512,0.5495921742267771
M1,South Africa,4,Control,0.1418953560552771,-18.671912168321594,7.32624961728823,-2.54863172069107,0.010814643781224455,0.1417606867198692,518,-33.031097559956876,-4.312726776686308
M1,South Korea,4,Control,-0.1826007815678756,-0.2720127124449866,0.3294211833553096,-0.8257292675425704,0.4089576859278864,0.003716350377221622,518,-0.917666367565959,0.3736409426759858
M1,Thailand,4,Control,-0.4707525581147994,-1.2801433647317708,0.9115775684534908,-1.4043164389219878,0.16022464122384739,0.03730567499656601,518,-3.0668025680152082,0.5065158385516668
M1,Turkey,4,Control,-0.6477912614272312,-23.835932635354162,10.112883337287347,-2.356986809831809,0.01842390126431965,0.0716577711203139,518,-43.65681975629259,-4.0150455144157355
M1,Abu Dhabi,8,Exporter,-0.40287382988159853,-1.5979692264605094,1.1678819906547784,-1.3682625806778652,0.17122989911105102,0.08948009149385516,514,-3.8869758663368192,0.6910374134158004
M1,Brazil,8,Exporter,0.16437414321688382,-14.610152530527369,2.981547639601018,-4.90019087284564,9.574359256954004e-07,0.2462636105688898,514,-20.453878522335774,-8.766426538718964
M1,Chile,8,Control,-0.6831568206271735,-8.588561932038578,3.110306693582189,-2.7613231678278636,0.0057567681668254855,0.15906841520470116,514,-14.684651032333527,-2.4924728317436298
M1,China,8,Control,-0.42517031392013105,-0.5915913003793527,0.4286887069884845,-1.3800020638174733,0.16758600938860502,0.011714802444743322,514,-1.4318057266558264,0.2486231258971211
