date,country,cds_spread,yield_market,spread_M0,spread_M1,spread_M2,RNS_M0,RNS_M1,RNS_M2,yield_rf_M0,yield_rf_M1,yield_rf_M2,yield_rns_M0,yield_rns_M1,yield_rns_M2
2023-02-28,China,68.17,449.17,0.03468575833274398,0.034685758362942576,892.4292924148116,0.00028821993527938794,-6.938893903907228e-14,234.06187491547118,381.0346857583327,381.03468575836297,1273.4292924148117,381.00028821993527,380.99999999999994,615.0618749154712
2023-03-31,China,73.7,467.7,0.037110693382252494,0.03711069341977873,981.4090950776521,0.0003123907848373575,6.016021014687567e-11,304.30495592593957,394.03711069338226,394.0371106934198,1375.4090950776522,394.0003123907848,394.00000000006014,698.3049559259396
2023-04-30,China,72.75,452.75,0.0008660027613639829,0.0008660027613639829,901.2938762439902,5.159787042074981e-06,6.938893903907228e-14,238.67179251414342,380.00086600276137,380.00086600276137,1281.2938762439903,380.00000515978707,380.00000000000006,618.6717925141434
2023-05-31,China,68.77,448.77,0.001132823749218175,0.0011328237494402198,1021.6296646881967,6.750269926358854e-06,6.938893903907228e-14,331.7970584236602,380.00113282374923,380.00113282374946,1401.6296646881967,380.0000067502699,380.00000000000006,711.7970584236602
2023-06-30,China,61.72,465.72,0.003576249035076059,0.0035762490355201485,878.6630450139133,2.2830258933348446e-05,3.0808688933348094e-11,215.72641170051608,404.00357624903506,404.0035762490355,1282.6630450139132,404.00002283025896,404.0000000000308,619.7264117005161
2023-07-31,China,56.34,460.34000000000003,0.005984391499180267,0.005984391500512539,767.4407498519947,4.052307586710491e-05,3.469446951953614e-13,155.66340740799816,404.00598439149917,404.00598439150053,1171.4407498519947,404.0000405230759,404.00000000000034,559.6634074079982
2023-08-31,China,82.61,497.61,0.007122420230168321,0.00712242023261082,735.474526921196,4.812148853006182e-05,-1.3877787807814457e-13,138.55783052337623,415.0071224202302,415.00712242023263,1150.474526921196,415.00004812148853,414.9999999999999,553.5578305233762
2023-09-30,China,81.67,546.67,0.00045693512131268305,0.00045693512131268305,861.1716906878322,2.4675704535237486e-06,1.3877787807814457e-13,203.62649337630907,465.0004569351213,465.0004569351213,1326.1716906878323,465.0000024675704,465.0000000000001,668.6264933763091
2023-10-31,China,82.14,547.14,0.0003260659155356392,0.0003260659155356392,1114.4065072179098,1.714682215658847e-06,1.3877787807814457e-13,418.9990667124066,465.00032606591554,465.00032606591554,1579.4065072179098,465.00000171468224,465.0000000000001,883.9990667124066
2023-11-30,China,58.23,571.23,0.00028517503593307887,0.00028517503593307887,990.6986441198767,1.517841824449917e-06,-6.938893903907228e-14,301.33969756205886,513.000285175036,513.000285175036,1503.6986441198767,513.0000015178418,512.9999999999999,814.3396975620589
