country,year,total_exports_usd,exports_copper_usd,exports_energy_usd,gdp_usd,gdp_usd_if_billions,share_copper,share_energy,expgdp_copper,expgdp_copper_if_gdp_billions,expgdp_energy,expgdp_energy_if_gdp_billions,total_expgdp,total_expgdp_if_gdp_billions
EGY,2024,44846871351.303,395298.744,4950524155.742,3.83105e+11,3.83105e+20,8.81441072897753e-06,0.110387280239966,1.03182872580624e-06,1.03182872580624e-15,0.0129221079227418,1.29221079227418e-11,0.117061566284186,1.17061566284186e-10
HUN,2023,158563412727,8395754,1780061809,2.14098e+11,2.14098e+20,5.2948872981531e-05,0.0112261824993938,3.92145372679801e-05,3.92145372679801e-14,0.00831423838148885,8.31423838148885e-12,0.740611368284617,7.40611368284617e-10
HUN,2024,167705354914,6211225,1991203670,2.2306e+11,2.2306e+20,3.70365335274186e-05,0.011873226534842,2.7845534833677e-05,2.7845534833677e-14,0.00892676261992289,8.92676261992289e-12,0.75183966158881,7.5183966158881e-10
IDN,2023,258774386644.997,9490666728.089,6191409700.733,1.371169e+12,1.371169e+21,0.0366754486451895,0.0239258984670178,0.00692158787727042,6.92158787727042e-12,0.00451542421155452,4.51542421155452e-12,0.188725377138046,1.88725377138046e-10
IDN,2024,266330422108.414,10193449371.99,5948314674.23,1.3963e+12,1.3963e+21,0.0382736951013452,0.0223343417816859,0.00730032899232973,7.30032899232973e-12,0.00426005491243286,4.26005491243286e-12,0.190740114666199,1.90740114666199e-10
KAZ,2023,78735590866.92,6257604020.12,43403177716.47,2.6184e+11,2.6184e+20,0.0794761803552943,0.551252327423702,0.0238985793619004,2.38985793619004e-11,0.165762212482699,1.65762212482699e-10,0.300701156686984,3.00701156686984e-10
KAZ,2024,81612893051.23,7291418313.24,43735051033.09,2.9148e+11,2.9148e+20,0.0893415003517034,0.535884091324108,0.0250151582037876,2.50151582037876e-11,0.150044775055201,1.50044775055201e-10,0.279994830009709,2.79994830009709e-10
LKA,2023,12052497548.941,8797459.215,380231771.709,8.3723e+10,8.3723e+19,0.000729928313967838,0.0315479650723853,0.000105078165080086,1.05078165080086e-13,0.00454154499610621,4.54154499610621e-12,0.143956828457425,1.43956828457425e-10
LKA,2024,12109626421.072,12338265.876,287612420.772,9.8964e+10,9.8964e+19,0.00101888080168436,0.0237507261389604,0.000124674284345823,1.24674284345823e-13,0.00290623277931369,2.90623277931369e-12,0.122363954782264,1.22363954782264e-10
MAR,2023,42462806869.922,198731898.591,476154452.158,1.46057e+11,1.46057e+20,0.00468014041558259,0.0112134474203889,0.00136064617643112,1.36064617643112e-12,0.00326005910129607,3.26005910129607e-12,0.290727639688081,2.90727639688081e-10
MAR,2024,80568883408.529,418456658.989,589014882.322,1.60606e+11,1.60606e+20,0.00519377508146901,0.00731069933457272,0.00260548584105824,2.60548584105824e-12,0.00366745253802473,3.66745253802473e-12,0.501655501092917,5.01655501092917e-10
MEX,2023,593707208904,4482340388,32131830728,1.798318e+12,1.798318e+21,0.00754974896847644,0.054120667975914,0.00249251822425177,2.49251822425177e-12,0.0178677134566856,1.78677134566856e-11,0.330145841227191,3.30145841227191e-10
MEX,2024,618982287354,3951073987,27087803496,1.856366e+12,1.856366e+21,0.00638317778670192,0.0437618394732971,0.00212839170023584,2.12839170023584e-12,0.0145918442246841,1.45918442246841e-11,0.333437634256391,3.33437634256391e-10
NGA,2023,65129007547.867,189799004.264,52644106622.105,4.87347e+11,4.87347e+20,0.00291420077489291,0.808305064120835,0.000389453519287079,3.89453519287079e-13,0.108021813250323,1.08021813250323e-10,0.133639906571431,1.33639906571431e-10
NGA,2024,52361700787.283,122901200.426,37469381497.625,2.52109e+11,2.52109e+20,0.0023471582965817,0.715587556062066,0.000487492316521822,4.87492316521822e-13,0.148623736152319,1.48623736152319e-10,0.207694690738066,2.07694690738066e-10
PAK,2023,28746392443.932,717410908.805,138790624.166,3.36555e+11,3.36555e+20,0.0249565544686786,0.00482810580272646,0.00213163051746371,2.13163051746371e-12,0.000412386160259096,4.12386160259096e-13,0.0854136543623836,8.54136543623836e-11
PAK,2024,32438495605.344,805208385.136,536474382.57,3.71408e+11,3.71408e+20,0.0248226180070862,0.0165382016816347,0.00216798880243829,2.16798880243829e-12,0.00144443410634666,1.44443410634666e-12,0.0873392484958428,8.73392484958429e-11
PAN,2023,3366820480,2469069825,9892265,8.3812e+10,8.3812e+19,0.733353571913641,0.00293816229845436,0.0294596218321959,2.94596218321959e-11,0.000118029220159404,1.18029220159404e-13,0.0401711029446857,4.01711029446857e-11
PAN,2024,1158357714,60750,11393058,8.6524e+10,8.6524e+19,5.24449393013668e-05,0.00983552650645187,7.02117331607415e-07,7.02117331607415e-16,0.000131675119042115,1.31675119042115e-13,0.0133877041514493,1.33877041514493e-11
