,country,date,cds_spread,fx_rate,domestic_rate,risk_free_rate,monetary_base_bn_local,external_debt_bn_usd,domestic_debt_bn_local,LCL_usd,sigma_lcl,B_f,implied_V,implied_sigma_V,cca_converged
65,Colombia,2019-06-30,91.67,3212.335368,0.0593,0.0236,61443.62,154.219,0,22.86533034839717,0.22171180914991065,172.416842,176.0258262862372,0.02925798336218378,True
66,Colombia,2019-07-31,82.32999,3238.341969,0.0593,0.0236,61443.62,154.219,0,22.68170257566766,0.2216087718127824,172.416842,175.84269801945945,0.02904016970429143,True
67,Colombia,2019-08-31,93.34999,3442.340792,0.05888,0.0191,62593.47,154.219,0,22.184841865195363,0.21867089882991025,168.9469145,175.68560104219821,0.028023257827589396,True
68,Colombia,2019-09-30,94.20999,3459.010723,0.05888,0.0191,62593.47,154.219,0,22.077926965892026,0.21742540093739268,168.9469145,175.58135729461424,0.027732847661351468,True
69,Colombia,2019-10-31,79.34,3395.585739,0.05805,0.0197,62877.51,154.219,0,22.431411419455195,0.20299947848024022,169.4095715,175.91762220744096,0.02612279534074415,True
70,Colombia,2019-11-30,90.10999,3517.411185,0.0625,0.0213,66552.34,154.219,0,23.249030809113485,0.2035708139498667,170.6433235,176.61980950751501,0.02704333032458915,True
71,Colombia,2019-12-31,73.20999,3300.330033,0.0625,0.0213,66552.34,154.219,0,24.778249505565544,0.210257663858731,170.6433235,178.13750684039414,0.029568267937017556,True
72,Colombia,2020-01-31,82.2,3419.97264,0.0564,0.0207,70053.89,159.907,0,24.486752375984825,0.1368109704409958,176.45737450000001,183.59374031356583,0.01825093740671032,True
73,Colombia,2020-02-29,106.87,3527.336861,0.05835,0.0181,68579.87,159.907,0,23.77669491115046,0.13430978930313991,174.37858350000002,183.06675638983586,0.017447078270247357,True
74,Colombia,2020-03-31,229.33,4024.144869,0.05835,0.0181,68579.87,159.907,0,20.841300480738767,0.1789938912764333,174.37858350000002,180.12164252152414,0.020790373280936855,True
75,Colombia,2020-04-30,272.0801,4042.037187,0.07,0.0126,70997.36,159.907,0,23.40369402367139,0.2156575922623503,169.981141,182.95171477996138,0.027961675600370967,True
76,Colombia,2020-05-31,172.37,3729.951511,0.055,0.0112,78459.08,159.907,0,26.184875711144098,0.23726074299206382,168.861792,185.73164200319388,0.03419898973998394,True
77,Colombia,2020-06-30,164.8641,3750.937734,0.055,0.0112,78459.08,159.907,0,26.038373241662864,0.23171860590604568,168.861792,185.60417586162794,0.03314819728569558,True
78,Colombia,2020-07-31,128.2566,3732.736096,0.05235,0.0109,82775.81,159.907,0,27.28246986359318,0.23330957280964323,168.62193150000002,186.8533243401854,0.03474734703010432,True
79,Colombia,2020-08-31,117.74,3745.318352,0.05235,0.0109,82775.81,159.907,0,27.190815433215402,0.23075459922823882,168.62193150000002,186.77018289728986,0.034227130751813946,True
