Date,Austria,Belgium,Bulgaria,Croatia,Cyprus,Estonia,Finland,France,Germany,Greece,Ireland,Italy,Latvia,Lithuania,Netherlands,Portugal,Slovakia,Slovenia,Spain,Abu Dhabi,Dubai,Bahrain,Kuwait,Oman,Qatar,Saudi Arabia,Argentina,Brazil,Chile,Colombia,Dominican Republic,Ecuador,El Salvador,Guatemala,Jamaica,Mexico,Panama,Paraguay,Peru,Trinidad and Tobago,United States,Uruguay,Venezuela,Czech Republic,Denmark,Hungary,Iceland,Norway,Poland,Romania,Russia,Serbia,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,Australia,China,Hong Kong,India,Indonesia,Japan,Kazakhstan,Malaysia,Mongolia,New Zealand,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam,Egypt,Ghana,Iraq,Israel,Jordan,Kenya,Lebanon,Morocco,Nigeria,South Africa,Tunisia
2001-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,3.622999906539917,,1.0,,,,,,,,,,,,,,,,,,,,,,119.20999908447266,,,,,,,,,,,,,3.887500047683716,,,,,,,,,,
2001-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,3.622999906539917,,1.0,,,,,,,,,,,,,,,,,,,,,,120.8499984741211,,,,,,,,,,,,,3.887500047683716,,,,,,,,,,
2001-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,3.622999906539917,,1.0,,,,,,,,,,,,,,,,,,,,,,120.8499984741211,,,,,,,,,,,,,3.874300003051758,,,,,,,,,,
2001-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,3.622999906539917,,1.0,,,,,,,,,,,,,,,,,,,,,,122.87000274658203,,,,,,,,,,,,,3.874300003051758,,,,,,,,,,
2001-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,3.622999906539917,,1.0,,,,,,,,,,,,,,,,,,,,,,122.87000274658203,,,,,,,,,,,,,3.8842999935150146,,,,,,,,,,
2001-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,3.622999906539917,,1.0,,,,,,,,,,,,,,,,,,,,,,124.45999908447266,,,,,,,,,,,,,3.8842999935150146,,,,,,,,,,
2001-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,3.622999906539917,,1.0,,,,,,,,,,,,,,,,,,,,,,124.45999908447266,,,,,,,,,,,,,3.8842999935150146,,,,,,,,,,
2001-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,3.622999906539917,,1.0,,,,,,,,,,,,,,,,,,,,,,124.5,,,,,,,,,,,,,3.8842999935150146,,,,,,,,,,
2001-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,3.622999906539917,,1.0,,,,,,,,,,,,,,,,,,8.276800155639648,,,11390.0,124.5,,,,,,,,,,,,,3.8980000019073486,,,,,,,,,,
2001-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,3.622999906539917,,1.0,,,,,,,,,,,,,,,,,,8.276800155639648,,,11390.0,125.81999969482422,,,,,,,,,,,,,3.8980000019073486,,,,,,,,,,
