Dates,Argentina,Brazil,Chile,Colombia,Mexico,Peru,Uruguay,Angola,Egypt,Ghana,Kenya,Morocco,Nigeria,South Africa,Tunisia,Zambia,West African CFA Franc,Kazakhstan,Poland,Euro,Turkey,Ukraine,Hungary,Bahrain,Oman,Saudi,United Arab Emirates,Qatar,Iraq,Indonesia,Pakistan,Philippines,Sri Lanka,Vietnam
16.04.2021,92.7952,5.5881,704.03,3609.7,19.9192,3.6334,44.2825,646.355,15.7111,5.7775,106.87,8.9311,409.46,14.3101,2.7596,22.215,547.4407,430.12,3.7898,0.8346,8.0656,27.9987,301.6,0.37701,0.385,3.7502,3.673,3.6417,1460,14565,152.8579,48.385,197.47,23062
23.04.2021,93.1207,5.4759,712.05,3639.63,19.8257,3.7885,44.06,655.7989,15.6677,5.7725,108.02,8.8913,410.1,14.2771,2.7371,22.26,542.2456,430.3,3.7656,0.8266,8.3907,27.9186,300.33,0.377,0.38501,3.7506,3.673,3.6414,1460,14525,153.7125,48.384,194.48,23061
30.04.2021,93.5549,5.4376,710.35,3729.88,20.2462,3.7857,43.8925,652.8912,15.6964,5.775,108,8.9363,410.18,14.495,2.7462,22.315,545.743,429.79,3.7924,0.832,8.2948,27.815,299.62,0.377,0.38502,3.7502,3.673,3.641,1460,14445,153.4632,48.124,197.5,23053
07.05.2021,93.835,5.2375,694.92,3763.64,19.9173,3.8075,43.8525,652.9369,15.67,5.7675,107.25,8.8301,409.96,14.0574,2.7389,22.37,539.292,426.32,3.744,0.8221,8.2409,27.7536,294.85,0.37699,0.385,3.7503,3.673,3.6414,1460,14285,152.3875,47.873,197.3,23065
14.05.2021,94.0427,5.2734,700.43,3704.54,19.8654,3.6789,44.165,652.965,15.6591,5.7675,107.1,8.844,410.65,14.1301,2.7292,22.4385,540.0957,428.18,3.7314,0.8234,8.451,27.5626,292.47,0.377,0.38499,3.7503,3.673,3.641,1460,14198,152.3875,47.814,197.48,23040
21.05.2021,94.2761,5.3668,718.47,3746.15,19.9543,3.7533,44.125,651.5285,15.6591,5.7775,108.25,8.8249,411.18,13.9619,2.7206,22.4893,538.4862,428.29,3.6911,0.8209,8.4162,27.4325,286.16,0.37699,0.385,3.7503,3.673,3.641,1460,14355,153.403,47.953,197.38,23052
28.05.2021,94.5624,5.2257,723.63,3707.15,19.9379,3.8114,43.875,650.1315,15.6701,5.785,107.64,8.834,410.88,13.7649,2.727,22.52,537.9785,428.36,3.6774,0.8202,8.5625,27.5054,285.63,0.377,0.385,3.7502,3.673,3.6413,1460,14285,154.467,47.81,198.52,23039
04.06.2021,94.8638,5.0494,717.81,3599.98,19.9589,3.8549,43.61,650,15.6718,5.7925,107.8,8.833,410.83,13.4316,2.7296,22.545,539.1324,427.52,3.6644,0.8219,8.6685,27.2388,284.2,0.37696,0.385,3.7502,3.673,3.6413,1460,14295,154.6048,47.739,198.01,23038
11.06.2021,95.1325,5.1181,722.5,3603.44,19.8764,3.8944,43.69,649.8645,15.6817,5.8,107.9,8.8447,410.63,13.7163,2.7455,22.5654,541.726,426.67,3.716,0.8259,8.3931,26.9708,287.69,0.37699,0.385,3.7503,3.673,3.6413,1460,14189,154.65,47.7,198.3,22944
18.06.2021,95.3754,5.0903,748.42,3745.4,20.6593,3.9524,43.825,649.5756,15.6404,5.8,107.8,8.9321,410.21,14.3509,2.7929,22.5925,552.918,427.85,3.8389,0.8429,8.7352,27.2708,299.88,0.37697,0.385,3.7503,3.673,3.6412,1460,14375,156.9063,48.435,198.76,23010
25.06.2021,95.6053,4.9343,733.9,3731.85,19.8239,3.9695,43.5175,655.4844,15.6429,5.83,107.75,8.8983,410.29,14.1466,2.767,22.625,549.5607,426.85,3.7822,0.8378,8.7652,27.3301,294.29,0.37697,0.385,3.7502,3.673,3.6412,1460,14425,157.95,48.483,198.99,23012
02.07.2021,95.7975,5.0597,735.5,3743.27,19.7718,3.9025,43.795,652.6281,15.6429,5.87,107.95,8.9346,410.64,14.2509,2.775,22.645,552.8551,426.22,3.8014,0.8428,8.6924,27.3925,296.46,0.37699,0.38501,3.7503,3.673,3.641,1460,14533,157.7458,49.188,199.3,22997
09.07.2021,95.9752,5.2604,748.5,3834.01,19.8685,3.9689,43.85,651.0072,15.6429,5.9,107.95,8.9248,411.7,14.2182,2.779,22.665,552.2662,428.79,3.8286,0.8419,8.6615,27.2878,299.36,0.37701,0.385,3.7505,3.673,3.6415,1460,14528,158.425,50.075,199.2,22992
16.07.2021,96.2215,5.1152,757.88,3809.99,19.8922,3.9058,43.8775,650.7708,15.6824,5.9,108.19,8.943,410.8,14.4307,2.7845,22.605,555.6368,427.09,3.8829,0.8471,8.5277,27.2325,304.49,0.377,0.38501,3.7509,3.673,3.6416,1460,14498,159.8718,50.24,199.35,23010
23.07.2021,96.4281,5.2,762.52,3869.56,20.0665,3.925,43.765,647.3381,15.6807,5.9225,108.19,8.9582,411.28,14.8503,2.8045,21.005,557.2181,425.76,3.8845,0.8495,8.5529,27.0457,306.13,0.37702,0.38501,3.7508,3.673,3.6417,1460,14493,161.975,50.33,199.5,22999
30.07.2021,96.6944,5.2119,759,3830.75,19.8675,4.0685,43.7025,646.4671,15.6807,5.9269,108.19,8.9032,411.1,14.6019,2.7812,19.16,552.7329,424.86,3.8486,0.8427,8.4539,26.7555,301.9,0.377,0.38501,3.751,3.673,3.6417,1460,14463,162.425,50.02,199.3,22947
06.08.2021,96.9038,5.2314,788.22,3957.44,20.0432,4.0942,43.6975,646.1655,15.7062,5.935,108.72,8.9541,411.24,14.6308,2.7889,19.26,557.7201,424.67,3.8879,0.8502,8.6317,26.7899,300.89,0.37701,0.385,3.7504,3.673,3.6417,1460,14353,163.1258,50.405,199.5,22934
13.08.2021,97.1118,5.2477,775.74,3846.38,19.8794,4.078,43.3,645.7299,15.7062,5.96,109.25,8.9549,411.05,14.7347,2.7878,19.32,556.1219,424.91,3.8702,0.8478,8.5237,26.67,298.74,0.37702,0.38501,3.7502,3.673,3.6416,1460,14388,163.5932,50.468,199.75,22822
20.08.2021,97.3154,5.3802,786.77,3872.2,20.3651,4.115,43.1775,643.7555,15.6901,5.9925,109.42,8.9859,411.23,15.2953,2.8032,17.065,560.6555,427.33,3.9195,0.8547,8.4956,26.6861,299.4,0.37703,0.38476,3.7505,3.673,3.6416,1460,14453,164.1161,50.382,199.5,22818
27.08.2021,97.5642,5.2038,782.9,3829.46,20.2019,4.0815,42.53,642.7719,15.6905,6,109.71,8.8919,411.23,14.7229,2.7896,15.9287,556.0739,427.08,3.8796,0.8477,8.3512,26.8921,296.03,0.37701,0.38501,3.7502,3.673,3.6416,1460,14418,165,49.95,200.42,22780
03.09.2021,97.8706,5.1928,767.75,3800.6,19.9268,4.0935,42.665,641.002,15.6905,6.0225,109.99,8.856,411.62,14.3126,2.78,16.1025,552.2072,425.43,3.7929,0.8418,8.3242,26.8852,292.42,0.37701,0.38501,3.7506,3.673,3.6416,1460,14263,166.8625,49.827,201.01,22764
10.09.2021,98.0984,5.2469,788.63,3838.69,19.8919,4.1025,42.74,635.2964,15.6911,6.0025,109.88,8.9309,411.08,14.2086,2.7893,16.24,555.3782,426.14,3.8473,0.8467,8.4722,26.7316,296.33,0.37692,0.38501,3.7503,3.673,3.6406,1460,14203,168.086,49.866,200.3,22763
17.09.2021,98.3652,5.2895,783.13,3830,20.0182,4.1115,42.685,620.8621,15.7006,6.0275,110.17,8.9843,412.3,14.718,2.8011,16.41,559.4684,425.29,3.9147,0.8529,8.641,26.6393,301.05,0.37692,0.385,3.7506,3.673,3.6415,1460,14223,168.1226,49.96,199.68,22769
24.09.2021,98.5637,5.3345,793.04,3837.65,20.0533,4.1093,42.6925,610.8745,15.7008,6.03,110.39,8.992,413.31,14.9534,2.7986,16.6185,559.6555,425.46,3.9299,0.8532,8.8861,26.7013,304.46,0.37686,0.385,3.7499,3.673,3.641,1460,14258,169.075,50.635,199.99,22770
