COUNTRY;INDICATOR;FREQUENCY;SCALE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Advanced Economies;Gross domestic product (GDP) - Per capita - purchasing power parity (PPP) international dollar - ICP benchmarks 2017-2021;Annual;Units;29979.958;30945.604;31729.126;32805.347;34565.32;36426.699;38456.154;40307.385;40935.245;39561.14;41057.645;42400.229;43475.277;44678.889;46185.261;47473.199;48549.766;50490.756;52565.778;55011.115;54096.856;59761.818;65574.004;68634.981;71149.142
Advanced Economies;Exports of goods and services - US dollar;Annual;Billions;5977.583;5761.752;5989.346;6863.095;8209.503;9005.53;10126.035;11638.929;12944.927;10487.685;12140.771;14078.426;14056.192;14516.613;14874.75;13467.61;13397.536;14571.778;15824.754;15585.191;14077.783;17263.189;19081.235;19045.118;19649.518
Advanced Economies;Financial account balance (assets less liabilities) - US dollar;Annual;Billions;-330.258;-222.14;-354.657;-328.89;-92.057;-397.237;-563.463;-389.147;-779.891;-73.375;-133.455;-301.261;-146.869;219.983;310.636;238.762;443.671;398.388;477.302;126.223;-42.768;445.503;-118.121;-139.168;165.683
Advanced Economies;Imports of goods and services - Volume - Cost insurance freight (CIF) - Percent change;Annual;Units;12.132;0.021;2.973;4.308;9.074;6.773;7.872;5.344;0.362;-11.279;11.504;5.288;1.234;2.583;4.056;4.815;2.616;4.733;3.755;1.99;-8.178;10.17;7.357;-0.73;2.104
Advanced Economies;Employed persons - Persons for countries / Index for country groups;Annual;Units;96.143;96.807;97.121;97.681;98.611;100;101.688;103.261;103.806;101.549;101.258;101.857;102.491;103.028;104.252;105.591;107.168;108.59;110.177;111.461;108.331;110.344;113.281;115.063;115.874
World;Trade of goods and services - Volume - Percent change;Annual;Units;12.505;0.62;3.89;5.719;10.832;7.806;9.16;7.769;2.689;-10.225;11.951;6.984;2.994;3.647;4.083;3.098;2.409;5.421;3.987;1.116;-8.304;10.831;5.788;0.996;3.51
Advanced Economies;Current account balance (credit less debit) - US dollar;Annual;Billions;-241.501;-234.038;-232.083;-238.417;-215.546;-399.931;-466.772;-419.604;-596.059;-84.996;17.989;-38.463;7.197;229.067;239.919;259.49;383.457;482.932;409.473;374.24;128.144;448.047;-264.583;-16.492;49.531
Advanced Economies;Gross domestic product (GDP) - Purchasing power parity (PPP) international dollar - percent of world GDP - Percent - ICP benchmarks 2017-2021;Annual;Units;58.082;57.61;56.967;56.059;55.035;54.087;53.004;51.763;50.502;49.092;48.119;47.153;46.194;45.375;44.771;44.349;43.79;43.293;42.536;42.171;41.715;41.188;40.916;40.223;39.649
World;Gross domestic product (GDP) - Constant prices - Percent change;Annual;Units;4.781;2.495;2.831;3.813;5.274;4.711;5.281;5.341;2.923;-0.332;5.255;4.106;3.375;3.387;3.551;3.433;3.221;3.836;3.638;2.968;-2.709;6.617;3.75;3.513;3.336
Advanced Economies;Financial derivatives and employee stock options - Net (assets minus liabilities) - US dollar;Annual;Billions;10.313;-16.399;6.261;10.065;39.203;31.087;-48.616;198.805;370.888;-128.961;-121.978;-2.748;-97.617;73.286;0.589;-117.831;15.613;37.884;50.874;3.654;71.148;42.459;5.362;-15.393;60.614
World;Gross capital formation - Percent of GDP;Annual;Units;24.333;23.644;22.94;23.126;23.824;24.203;24.754;25.283;25.291;23.229;24.469;25.206;25.358;25.411;25.709;25.741;25.442;25.937;26.449;26.435;26.306;27.104;27.415;26.483;26.059
World;Exports of goods and services - Volume - Free on board (FOB) - Percent change;Annual;Units;12.486;0.553;3.902;5.446;10.956;7.458;9.22;7.392;2.5;-9.722;11.465;6.592;3.242;3.689;4.002;3.383;2.491;5.302;3.686;1.164;-7.939;10.804;5.453;1.087;3.623
Advanced Economies;Expenditure - General government - Percent of GDP;Annual;Units;;37.061;37.733;38.452;38.073;37.938;37.568;37.852;39.713;43.468;42.222;41.404;40.792;40.196;39.613;38.687;38.569;38.237;38.292;38.59;46.25;44.218;40.263;40.535;40.765
Advanced Economies;Gross domestic product (GDP) - Current prices - US dollar;Annual;Billions;26960.202;26687.422;27845.422;31241.269;34664.257;36491.101;38380.458;41931.843;44299.427;41800.254;43660.796;46894.568;46709.215;47175.962;48289.23;45711.404;46951.019;49016.624;51868.982;52406.467;51561.468;57609.524;58945.923;62310.258;64901.125
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries);Structural balance - General government - Percent;Annual;Units;-0.203;-0.669;-0.736;-0.333;-0.5;0.382;0.584;1.077;-0.263;-1.641;-1.618;-1.345;-1.193;-1.317;-1.078;-0.924;-0.411;0.039;-0.057;-1.281;-4.409;-2.496;-1.766;-1.78;-2.039
Belgium;Employed persons - Persons for countries / Index for country groups;Annual;Millions;4.173;4.231;4.243;4.241;4.284;4.346;4.397;4.471;4.549;4.544;4.576;4.632;4.643;4.632;4.649;4.687;4.746;4.816;4.886;4.963;4.956;5.038;5.134;5.172;5.189
Belgium;Gross domestic product (GDP) - Current prices - Domestic currency;Annual;Billions;256.376;264.335;273.255;281.201;296.82;310.037;325.151;343.619;351.743;347.735;363.242;378.747;387.936;394.617;404.959;415.538;428.467;443.408;459.492;479.446;463.75;506.047;563.71;596.202;613.985
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries);Revenue - General government - Percent of GDP;Annual;Units;34.041;32.378;31.901;33.103;33.196;33.47;33.512;33.984;34.163;32.852;31.969;32.563;32.595;32.47;31.823;30.986;31.409;31.683;31.84;31.592;31.467;32.746;33.21;32.211;32.186
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries);Gross domestic product (GDP) - Constant prices - Per capita - purchasing power parity (PPP) international dollar - ICP benchmark 2021;Annual;Units;38542.949;39117.497;40346.689;41188.342;43048.847;44548.654;46293.192;48229.625;48564.21;47668.864;50036.746;51282.606;51983.052;52910.583;54028.549;54829.487;55832.049;57236.582;58410.439;59180.813;57912.469;61328.619;62485.368;62837.927;63878.288
Austria;All Items - Consumer price index (CPI) - End-of-period (EoP) - percent change;Annual;Units;1.824;1.765;1.682;1.336;2.512;1.531;1.629;3.467;1.469;1.052;2.182;3.395;2.913;1.987;0.807;1.071;1.585;2.331;1.715;1.827;1.012;3.789;10.54;5.653;2.134
Belgium;Gross domestic product (GDP) - Constant prices - Percent change;Annual;Units;3.717;1.1;1.707;1.038;3.571;2.322;2.553;3.677;0.447;-1.906;2.71;1.931;0.216;0.306;1.766;1.474;1.193;1.475;1.878;2.443;-4.793;6.207;4.26;1.202;1.019
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries);Gross debt - General government - Percent of GDP;Annual;Units;34.91;35.659;35.9;36.722;34.968;33.927;33.115;31.306;32.788;35.549;35.684;36.67;38.173;39.167;40.45;41.352;41.792;41.311;41.015;42.934;49.72;49.333;48.138;49.613;50.08
